player_name,team,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,type,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts
William McNair,New Mexico St.,17,30.6,96.7,14.0,59.1,58.14,9.5,21.5,3.8,29.5,6,12,0.5,18,32,0.563,1,1,1.0,4.0,0.6,36.4,Jr,10-Jun,0.0740283,86.9994,5.0,2022,65448,all,98.2833,101.148,1.1084200000000002,39.4034,-2.76675,-3.8856300000000004,1.1188799999999999,-2.65143,13.0,-3.04641,0.39497600000000005,1.05,2.15,3.2,0.25,0.2,0.45,3.1
Nate Laszewski,Notre Dame,26,78.2,126.0,17.5,67.8,69.14,5.0,20.6,5.1,12.1,71,100,0.71,83,119,0.6970000000000001,36,83,0.434,1.8,1.0,49.5,Sr,10-Jun,4.522930000000001,126.94,2.7,2022,65450,all,108.368,101.318,2.8143,151.517,4.07586,4.26875,-0.192885,5.06604,31.2692,4.85623,0.209817,1.2692,6.0,7.2692,0.8077,0.5385,0.5769,13.2692
Prentiss Hubb,Notre Dame,26,92.2,100.1,26.4,48.7,51.21,2.4,7.3,30.9,19.5,46,59,0.78,69,152,0.45399999999999996,65,190,0.342,0.7,1.2,17.3,Sr,03-Jun,3.5238400000000003,112.788,1.8,2022,65451,all,114.54299999999999,107.09100000000001,2.58087,134.403,0.8260200000000001,3.1912599999999998,-2.36524,0.1562,36.8846,2.43493,-2.27872,0.7308,2.5,3.2308,5.8462,0.7308,0.2692,14.5769
Kevin Schutte,Incarnate Word,22,20.1,113.9,13.2,51.6,51.77,15.1,21.5,4.8,14.1,6,12,0.5,16,31,0.516,0,0,0.0,6.4,1.6,38.7,Sr,09-Jun,0.476815,101.601,8.6,2022,65453,all,100.616,101.594,0.748598,40.7052,1.65067,-0.23049099999999997,1.88116,-1.66668,8.4545,-2.26675,0.600069,1.1364,1.5909,2.7273,0.2273,0.2273,0.5,1.7273
Kody Stattmann,Virginia,4,3.4,122.3,18.5,58.3,58.33,0.0,25.5,14.0,0.0,0,0,0.0,7,10,0.7,0,2,0.0,3.6,1.9,0.0,Sr,07-Jun,0.99605,119.02600000000001,1.2,2022,65454,all,94.8389,93.4963,0.9957360000000001,6.74788,5.32784,2.37865,2.94919,6.760660000000001,8.5,3.1996900000000004,3.5609699999999997,0.0,1.75,1.75,0.5,0.25,0.25,3.5
Tanner Groves,Oklahoma,23,67.7,117.7,27.3,61.1,64.55,5.9,25.9,11.0,14.2,82,104,0.7879999999999999,127,202,0.629,22,60,0.36700000000000005,3.8,0.5,39.7,Sr,09-Jun,3.9086,126.84,5.0,2022,65456,all,96.2051,97.4829,2.7984,138.86,4.16792,3.0937,1.0742200000000002,5.65705,27.0,4.7144,0.942649,1.3333,6.625,7.9583,1.3333,0.25,1.0833,17.1667
Leaky Black,North Carolina,29,68.9,99.9,12.9,39.9,44.33,5.1,14.1,14.2,19.8,36,52,0.6920000000000001,48,113,0.425,10,45,0.222,1.4,2.5,32.9,Sr,08-Jun,0.807502,93.70200000000001,2.7,2022,65459,all,97.7394,91.132,3.4536,160.53,4.97359,1.35669,3.6169,3.5318,27.5517,-0.224715,3.7565199999999996,1.3448,3.5862,4.931,2.4138,1.2414,0.3448,5.5862
Nana Opoku,Mount St. Mary's,23,85.3,99.9,18.6,50.2,50.06,8.7,14.8,8.3,16.2,24,52,0.462,95,176,0.54,7,34,0.20600000000000002,6.4,0.6,24.8,Sr,09-Jun,1.04935,94.12200000000001,2.7,2022,65461,all,95.7944,98.6733,3.3828199999999997,147.113,1.02734,-1.79017,2.81751,0.13328099999999998,34.4783,-0.947659,1.08094,2.5217,4.4783,7.0,1.2609,0.3478,2.0869999999999997,10.2174
Avery Benson,Texas,20,8.7,123.5,12.4,80.0,64.85,6.8,8.3,14.5,14.2,1,9,0.111,3,6,0.5,6,9,0.667,3.6,1.8,60.0,Sr,04-Jun,0.50665,114.243,5.5,2022,65463,all,96.1044,92.5858,0.605979,17.8076,7.138319999999999,4.49977,2.63856,5.46186,5.1,2.58287,2.87898,0.3,0.35,0.65,0.4,0.15,0.15,1.25
Mohammed Abdulsalam,UNC Greensboro,30,47.4,109.0,19.8,51.3,53.33,15.4,23.7,6.2,16.7,34,54,0.63,82,160,0.512,0,0,0.0,2.0,1.5,33.8,Sr,09-Jun,1.47071,107.617,5.7,2022,65464,all,93.7167,93.71600000000001,2.2059599999999997,122.149,-0.0631752,-0.782215,0.71904,-0.646184,19.0333,-0.25193499999999996,-0.394248,2.9333,3.9667,6.9,0.6333,0.5,0.3,6.6
